#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 13:20
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B1HODO01;Hodonín;01.01.1961;31.08.1971;17,1317;48,8575;180
B1HODO01;Hodonín;01.09.1971;31.12.1972;17,1358;48,8536;180
B1HODO01;Hodonín;01.01.1973;30.06.1977;17,1206;48,8456;160
B1HODO01;Hodonín;01.07.1977;31.07.1978;17,1208;48,8564;187
B1HODO01;Hodonín;01.11.1978;30.06.1980;17,1419;48,8658;186
B1HODO01;Hodonín;01.05.1981;30.04.1986;17,1403;48,8594;164
B1HODO01;Hodonín;01.09.1986;29.02.1992;17,1444;48,8628;164
B1HODO01;Hodonín;01.08.1992;09.06.2003;17,0972;48,8314;161
B1HODO01;Hodonín;10.06.2003;30.11.2017;17,1456;48,8617;174
B1HODO01;Hodonín;01.12.2017;31.12.2019;17,104872;48,854292;172

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Anemoindikátor;01.01.1961;31.07.1978;10
Anemoindikátor;01.11.1978;30.06.1980;10

PRVEK
Prùmìrná denní rychlost vìtru [F.AVG, m/s]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1961;08;9;1,7;
1961;08;10;2,3;
1961;08;11;2,7;
1961;08;12;1,7;
1961;08;13;3,3;
1961;08;14;1,7;
1961;08;15;1,7;
1961;08;16;4;
1961;08;17;,7;
1961;08;18;4;
1961;08;19;2,3;
1961;08;20;6,3;
1961;08;21;1;
1961;08;22;3,3;
1961;08;23;2,3;
1961;08;24;1,7;
1961;08;25;1;
1961;08;26;,7;
1961;08;27;1,3;
1961;08;28;2,3;
1961;08;29;1,3;
1961;08;30;3,3;
1961;08;31;2,3;
1961;09;1;1,3;
1961;09;2;1;
1961;09;3;4;
1961;09;4;1,3;
1961;09;5;1,7;
1961;09;6;1,7;
1961;09;7;1;
1961;09;8;2;
1961;09;9;1,3;
1961;09;10;5,3;
1961;09;11;1;
1961;09;12;,7;
1961;09;13;1,3;
1961;09;14;2;
1961;09;15;1;
1961;09;16;1;
1961;09;17;3;
1961;09;18;1,3;
1961;09;19;3;
1961;09;20;1,3;
1961;09;21;1,3;
1961;09;22;1;
1961;09;23;,3;
1961;09;24;1;
1961;09;25;1;
1961;09;26;,7;
1961;09;27;,3;
1961;09;28;1;
1961;09;29;1;
1961;09;30;2;
1961;10;1;2,7;
1961;10;2;,7;
1961;10;3;,7;
1961;10;4;3,3;
1961;10;5;3,7;
1961;10;6;8,7;
1961;10;7;15;
1961;10;8;2;
1961;10;9;,3;
1961;10;10;1,3;
1961;10;11;1;
1961;10;12;1,7;
1961;10;13;2,3;
1961;10;14;1,3;
1961;10;15;1;
1961;10;16;,7;
1961;10;17;1,3;
1961;10;18;2,7;
1961;10;19;1;
1961;10;20;,7;
1961;10;21;2;
1961;10;22;1,3;
1961;10;23;4;
1961;10;24;2,3;
1961;10;25;2,3;
1961;10;26;4;
1961;10;27;5;
1961;10;28;2;
1961;10;29;1;
1961;10;30;1;
1961;10;31;,3;
1961;11;1;1,7;
1961;11;2;2;
1961;11;3;2,7;
1961;11;4;3;
1961;11;5;3;
1961;11;6;3;
1961;11;7;,7;
1961;11;8;1;
1961;11;9;4,3;
1961;11;10;1;
1961;11;11;2,3;
1961;11;12;4,7;
1961;11;13;4,7;
1961;11;14;2,7;
1961;11;15;3,3;
1961;11;16;1;
1961;11;17;1,3;
1961;11;18;1,3;
1961;11;19;2,3;
1961;11;20;1,3;
1961;11;21;1,3;
1961;11;22;,7;
1961;11;23;1,3;
1961;11;24;1;
1961;11;25;1;
1961;11;26;5,7;
1961;11;27;3,3;
1961;11;28;1;
1961;11;29;,7;
1961;11;30;2,3;
1961;12;1;1,7;
1961;12;2;3,7;
1961;12;3;3;
1961;12;4;2,3;
1961;12;5;4;
1961;12;6;1,7;
1961;12;7;2;
1961;12;8;1,3;
1961;12;9;4;
1961;12;10;4;
1961;12;11;5,3;
1961;12;12;1;
1961;12;13;5;
1961;12;14;5,7;
1961;12;15;3,7;
1961;12;16;2,3;
1961;12;17;3,7;
1961;12;18;4,7;
1961;12;19;2,3;
1961;12;20;1,7;
1961;12;21;4;
1961;12;22;1,3;
1961;12;23;1,7;
1961;12;24;2,3;
1961;12;25;1,7;
1961;12;26;9;
1961;12;27;2,7;
1961;12;28;,7;
1961;12;29;3;
1961;12;30;2,7;
1961;12;31;1,7;
1962;01;1;1,3;
1962;01;2;4;
1962;01;3;3;
1962;01;4;1,3;
1962;01;5;1;
1962;01;6;2,7;
1962;01;7;1,7;
1962;01;8;3,7;
1962;01;9;6,7;
1962;01;10;11;
1962;01;11;6,7;
1962;01;12;2,7;
1962;01;13;1,7;
1962;01;14;1,3;
1962;01;15;1,3;
1962;01;16;4,7;
1962;01;17;4;
1962;01;18;2;
1962;01;19;1,7;
1962;01;20;1,3;
1962;01;21;,3;
1962;01;22;3,3;
1962;01;23;1;
1962;01;24;1,7;
1962;01;25;2;
1962;01;26;1;
1962;01;27;2,7;
1962;01;28;4;
