"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"geometry";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B1UHBR01";17.6555;49.0255;222;"Uherský Brod";"Uherský Brod";"MSS";"POINT (17.6555 49.0255)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1UJED01";17.364444;49.211944;336;"Újezdsko";"Újezdsko";"MSS";"POINT (17.364444 49.211944)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1VEJATT";17.6697;48.8553;961;"Velká Javorina";"Velká Javorina";"TOTAL";"POINT (17.6697 48.8553)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"B1VELI01";17.7606;49.2875;392;"Zlín";"Zlín, Velíková";"MSS";"POINT (17.7606 49.2875)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1VELV01";17.5167;48.8789;289;"Velká nad Velickou";"Velká nad Velickou";"MSS";"POINT (17.5167 48.8789)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1VIZO01";17.84361;49.22297;313;"Vizovice";"Vizovice";"AKS1";"POINT (17.84361 49.22297)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B1VKLO01";18.015;49.139167;402;"Valašské Klobouky";"Valašské Klobouky";"ASS";"POINT (18.015 49.139167)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B1ZLIN01";17.643333;49.236667;283;"Zlín";"Zlín";"AKS3";"POINT (17.643333 49.236667)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B1ZLIN01";17.643333;49.236667;283;"Zlín";"Zlín";"AKS3";"POINT (17.643333 49.236667)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
"B2BABI01";16.6958;49.2889;470;"Babice nad Svitavou";"Babice nad Svitavou";"MSS";"POINT (16.6958 49.2889)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BATE01";15.355278;49.278056;643;"Batelov";"Batelov, Nová Ves";"MSS";"POINT (15.355278 49.278056)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BITO01";15.73;48.938333;425;"Bítov";"Bítov";"MSS";"POINT (15.73 48.938333)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BJUN01";16.5608;49.2019;260;"Brno";"Brno, Jundrov";"MSS";"POINT (16.5608 49.2019)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BLAN01";16.6503;49.3597;299;"Blansko";"Blansko";"MSS";"POINT (16.6503 49.3597)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BOHD01";15.871783;49.481656;583;"Bohdalov";"Bohdalov";"MSS";"POINT (15.871783 49.481656)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BOZI01";16.2881;48.8344;216;"Božice";"Božice";"MSS";"POINT (16.2881 48.8344)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BRAS01";16.4353;48.9661;200;"Branišovice";"Branišovice";"MSS";"POINT (16.4353 48.9661)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BRES01";16.5003;49.6597;387;"Brezová nad Svitavou";"Brezová nad Svitavou";"MSS";"POINT (16.5003 49.6597)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BROD01";16.5358;48.8733;177;"Brod nad Dyjí";"Brod nad Dyjí";"AKS1";"POINT (16.5358 48.8733)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2BRTN01";15.6753;49.3069;517;"Brtnice";"Brtnice";"ASS";"POINT (15.6753 49.3069)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BTUR01";16.688889;49.153056;241;"Brno";"Brno, Turany";"AMS";"POINT (16.688889 49.153056)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2BUCO01";17.014033;49.129881;238;"Bucovice";"Bucovice, Kloboucky";"MSS";"POINT (17.014033 49.129881)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BUDI01";16.0039;49.2717;485;"Budišov";"Budišov";"MSS";"POINT (16.0039 49.2717)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BUKA01";16.798889;49.296944;511;"Bukovinka";"Bukovinka";"ASS";"POINT (16.798889 49.296944)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2BYSP01";16.25401;49.52416;553;"Bystrice nad Pernštejnem";"Bystrice nad Pernštejnem";"AKS1";"POINT (16.25401 49.52416)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2BZAB01";16.5677;49.2165;236;"Brno";"Brno, Žabovresky";"AKS1";"POINT (16.5677 49.2165)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2BZID01";16.631111;49.1983;200;"Brno";"Brno, Židenice";"MSS";"POINT (16.631111 49.1983)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2CRUD01";15.322222;49.073333;520;"Ceský Rudolec";"Ceský Rudolec";"ASS";"POINT (15.322222 49.073333)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2DACI01";15.4344;49.0831;486;"Dacice";"Dacice";"MSS";"POINT (15.4344 49.0831)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2DRNH01";16.48;48.8589;210;"Drnholec";"Drnholec";"MSS";"POINT (16.48 48.8589)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2DUBN01";17.1028;48.9208;200;"Dubnany";"Dubnany";"MSS";"POINT (17.1028 48.9208)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2DUKO01";16.134444;49.095556;400.15;"Dukovany";"Dukovany";"AMS1";"POINT (16.134444 49.095556)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2DVES01";16.6414;48.8872;172;"Dolní Vestonice";"Dolní Vestonice";"MSS";"POINT (16.6414 48.8872)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
